Dept,SKU      ,SKU Desc                                ,UPC           , SOH         , Max Stock   , In-Transit  , On Order    ,Stat, Unit Cost   , Unit Retail , SupplierNo, Supplier Name                     , Inner, Buy Cost    ,SupPackSiz ,  LuxTax,  QtySales   ,   CustReturn,   TotalSales        ,   TotalCost         ,   On Order TSF       ,  Promo Start,  Promo End  ,  Promo Retail,  Order Loc, SuppRepl  , SuppRepl Name                     ,  Repl Cost  ,  WhRepl  ,  ReplMthd, OrdDay ,CycleOrd    , IMU                 , QtyAllocated, QtyReceived, Ret Allow Ind,UDA Cluster                ,Item Bazar Status   ,Comment Desc                              ,Max Ord Reg        ,        Av Cost     ,  Multipack     ,Store,Block MD  , Reason                   , Final Matrix
97,97310771,SOTONG KECIL 250 g                      ,8997212850306,0,             ,             ,             ,C,18925,20000,43669," ARTHA DAYA PRIMA,PT               ",20,18925,20,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,43669,"   ARTHA DAYA PRIMA,PT             ",18925,108,  PDET    ,     ALL,1,-0.04,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,18925,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97234925,MY TASTE BUMBU BLACK PAPPER kg          ,8997011790650,0,             ,             ,             ,C,47500,47500,33910," FOODINDO DWIVESTAMAS, PT          ",1,45250,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.05,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,45250,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97308953,KNM DAGING KEPITING kg                  ,              ,0,             ,             ,             ,C,212000,156000,41847," KELOLA NIAGA MAKMUR, PT           ",1,160000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,200041847,"   KELOLA NIAGA MAKMUR ,PT         ",160000,108,  PDET    ,     ALL,1,-0.13,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,212000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97242032,USUS SAPI KG                            ,2104,0,             ,             ,             ,C,40000,44500,10844, SANTOSO SUHERMAN-10844            ,30,50000,30,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,300031349,"   FEDORATAMA MUKTIJAYA, PT- SBY   ",59500,          ,  PDET    ,     ALL,1,-0.24,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,40000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97210834,BEAUT BEEF MEAL/140020                  ,              ,0,             ,             ,             ,D,52267,1,42421," SELARAS EKA PRIMA,PT              ",1,52267,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-57492.7,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,52267,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97344762,IKAN FRESH EKOR KUNING KG               ,2905,0,             ,             ,             ,A,27000,94900,42990, KASIM.                            ,1,89000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,43765,   HARIYANTO - JMR                 ,35000,          ,  PDET    ,     ALL,1,-0.03,             ,            , N            , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,56000,         N      ,449,       Y  , UNDER REVIEW ITEM        , NS
97,97453215,SUPER B'DENG BANDENG PRESTO/PINDANG KG  ,3426,0,             ,             ,             ,C,118000,173100,5303, SUPER BANDENG                     ,5,118000,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,5303,   SUPER BANDENG                   ,118000,          ,  PDET    ,     ALL,1,0.25,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,118000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97450003,MAMA'S HOT DOG 250 GR                   ,8995226401569,0,             ,             ,             ,C,28100,46400,31868," SOEJASCH BALI, PT                 ",10,53000,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,6000031868,"   SOEJASCH BALI,PT                ",28100,          ,  PDET    ,     ALL,1,-0.26,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,28100,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97209060,PAHA TANPA TULANG DAN KULIT PACK        ,              ,0,             ,             ,             ,C,49000,979100,40460," QL TRIMITRA, PT                   ",1,49000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.94,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,49000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97400950,VIDA SOSIS AYAM 25 PCS                  ,8998888525222,0,             ,             ,             ,C,40995,62900,34883," SAN MIGUEL FOODS INDONESIA,PT     ",5,40995,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.28,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,40995,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97211280,VICTORIA RUMP STEAK                     ,              ,0,             ,             ,             ,C,105000,110500,42709, ALEXANDER  HANSEN                 ,1,105000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.05,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,105000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97211459,A -CHICKEN STIR FRY                     ,4657,0,             ,             ,             ,C,49000,51500,37765, FLORA                             ,1,49000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.05,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,49000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97211468,A -PAHA UTUH                            ,              ,0,             ,             ,             ,C,35200,37000,37765, FLORA                             ,1,27000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.2,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,35200,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97211520,A -TULIP                                ,              ,0,             ,             ,             ,C,33100,979100,37765, FLORA                             ,1,33100,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.96,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,33100,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97211664,R -  KF GILING SPC                      ,              ,0,             ,             ,             ,C,92000,1000000,17765, INDOPANGAN SARANA PRIMA PT-PTK    ,1,79000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.91,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,92000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97414589,MAMA'S HUNGARIAN SALAMI 100 GR          ,              ,0,             ,             ,             ,C,19900,35200,9417," SOEJASCH BALI,PT-BLI              ",1,19900,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,6000031868,"   SOEJASCH BALI,PT                ",19900,          ,  PDET    ,     ALL,1,0.38,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,19900,         N      ,449,       Y  , NON ASSORTMENT           ,   
